frame,measured_x,measured_y,kalman_x,kalman_y,loop_ms
54,518.5,233.5,518.380615234375,232.22772216796875,0.4306999908294529
55,519.0,232.5,517.0978393554688,231.84999084472656,0.39760000072419643
56,516.0,232.5,516.4467163085938,231.3191375732422,0.39259999175556004
57,514.0,232.0,515.0689086914062,231.0078582763672,0.48299999616574496
58,514.0,232.0,513.4498901367188,230.6908721923828,0.4245000018272549
59,513.0,232.5,512.3441162109375,230.53594970703125,0.42520000715740025
60,511.0,231.0,511.3037109375,230.6779022216797,0.4896000027656555
61,510.5,231.5,509.960205078125,230.34442138671875,0.4236999957356602
62,509.0,231.0,508.8970947265625,230.3198699951172,0.5106000025989488
63,509.0,232.5,507.7083435058594,230.187744140625,0.44600000546779484
64,507.0,231.5,506.94195556640625,230.66311645507812,0.41200000850949436
65,504.5,231.0,505.8089599609375,230.73934936523438,0.4135999915888533
66,504.0,231.0,504.1993103027344,230.65628051757812,0.44219999108463526
67,502.0,231.0,502.9118957519531,230.61570739746094,0.41480000072624534
68,500.0,231.0,501.3642272949219,230.60699462890625,0.4229000041959807
69,499.0,231.0,499.61114501953125,230.62103271484375,0.44550000166054815
70,497.0,231.0,498.0523681640625,230.65028381347656,0.5932000058237463
71,498.0,233.5,496.3074645996094,230.68869018554688,0.5000999954063445
72,495.0,233.5,495.4717102050781,231.6087188720703,0.4965999978594482
73,493.0,233.0,493.9633483886719,232.35000610351562,0.40929998795036227
74,494.5,233.5,492.25830078125,232.75270080566406,0.42019999818876386
75,492.0,236.5,491.6284484863281,233.2228546142578,0.41009999404195696
76,490.0,237.5,490.4573059082031,234.6189422607422,0.4335999983595684
77,490.0,238.0,489.0143737792969,236.0439910888672,0.4081999941263348
78,488.5,237.5,488.0542907714844,237.29212951660156,0.4332999960752204
79,488.5,238.0,486.9552917480469,238.02716064453125,0.411000000895001
80,486.5,241.0,486.2647399902344,238.69036865234375,0.4343000036897138
81,485.5,239.5,485.19390869140625,240.17208862304688,0.42559999565128237
82,484.0,241.5,484.15997314453125,240.72598266601562,0.45420000969897956
83,482.5,241.5,482.9781799316406,241.75282287597656,0.4727000050479546
84,480.0,242.5,481.6765441894531,242.4590606689453,0.42720000783447176
85,480.0,243.0,479.9299621582031,243.25540161132812,0.4526999982772395
86,478.5,246.0,478.71026611328125,243.9498748779297,0.44120001257397234
87,478.5,247.0,477.39581298828125,245.44017028808594,0.4853999998886138
88,477.5,246.0,476.5317687988281,246.86351013183594,0.49109999963548034
89,474.0,249.5,475.6766052246094,247.5165252685547,0.4828999954042956
90,475.5,249.0,473.9430847167969,249.12420654296875,0.42890000622719526
91,473.5,252.0,473.2581481933594,250.09402465820312,0.44079999497625977
